"Graffiti Types","Null Mean MHI","P Value","Observed MHI Value","Scenario","Error Rate","Replicate","Deficit (%)"
"Masterpiece vs Tag",0.376568607198685,0.005,0.263705336902323,"Adjacent boundary only",0.15,15,29.9715027059634
"Masterpiece vs SITS",0.414996195636024,0.005,0.326318498656062,"Adjacent boundary only",0.15,15,21.3683156405938
"Tag vs SITS",0.858911824714955,0.005,0.829012813006211,"Adjacent boundary only",0.15,15,3.48103389060535
"Masterpiece vs Tag",0.354039516482734,0.005,0.243693305062746,"Adjacent boundary only",0.15,16,31.1677669533167
"Masterpiece vs SITS",0.392988703974223,0.005,0.304836472497283,"Adjacent boundary only",0.15,16,22.4312379937317
"Tag vs SITS",0.857627034750013,0.005,0.81956022469884,"Adjacent boundary only",0.15,16,4.43862057849759
"Masterpiece vs Tag",0.395128839909896,0.005,0.292611934144809,"Adjacent boundary only",0.15,17,25.9451843070895
"Masterpiece vs SITS",0.434221313169726,0.005,0.358738670403811,"Adjacent boundary only",0.15,17,17.3834495167699
"Tag vs SITS",0.858031829061877,0.005,0.825222559990815,"Adjacent boundary only",0.15,17,3.8237822840365
"Masterpiece vs Tag",0.387085970693753,0.005,0.294698265848393,"Adjacent boundary only",0.15,18,23.8674898704748
"Masterpiece vs SITS",0.428704036071512,0.005,0.363986802199416,"Adjacent boundary only",0.15,18,15.0960169316673
"Tag vs SITS",0.854580980530629,0.005,0.827298705512563,"Adjacent boundary only",0.15,18,3.19247393045489
"Masterpiece vs Tag",0.390288302857535,0.005,0.267535572592303,"Adjacent boundary only",0.15,19,31.4518086672045
"Masterpiece vs SITS",0.430111092459059,0.005,0.345853374758711,"Adjacent boundary only",0.15,19,19.5897569668859
"Tag vs SITS",0.858180492912527,0.005,0.823295721143389,"Adjacent boundary only",0.15,19,4.0649690895146
"Masterpiece vs Tag",0.378714563077186,0.005,0.2659719891926,"Adjacent boundary only",0.15,20,29.7698015541083
"Masterpiece vs SITS",0.417479110715046,0.005,0.325802081713334,"Adjacent boundary only",0.15,20,21.9596685555573
"Tag vs SITS",0.858374835067751,0.005,0.835701397881151,"Adjacent boundary only",0.15,20,2.64143777989599
"Masterpiece vs Tag",0.486078768218832,0.005,0.414845280069708,"Diffuse with cross-pole bleed",0.05,1,14.6547211700172
"Masterpiece vs SITS",0.537715866524462,0.005,0.463017401516893,"Diffuse with cross-pole bleed",0.05,1,13.8918097192081
"Tag vs SITS",0.809196007414104,0.005,0.725421998910099,"Diffuse with cross-pole bleed",0.05,1,10.3527461500603
"Masterpiece vs Tag",0.47204450563024,0.005,0.419085545396178,"Diffuse with cross-pole bleed",0.05,2,11.219060830579
"Masterpiece vs SITS",0.525730999376603,0.005,0.45712621441161,"Diffuse with cross-pole bleed",0.05,2,13.0494083564298
"Tag vs SITS",0.809350449820075,0.005,0.717763671929716,"Diffuse with cross-pole bleed",0.05,2,11.3160841401545
"Masterpiece vs Tag",0.474154941858612,0.005,0.423937417691124,"Diffuse with cross-pole bleed",0.05,3,10.5909523943046
"Masterpiece vs SITS",0.527890739836174,0.005,0.451702693864792,"Diffuse with cross-pole bleed",0.05,3,14.4325407176164
"Tag vs SITS",0.810425504845803,0.005,0.731090918965446,"Diffuse with cross-pole bleed",0.05,3,9.78925088191192
"Masterpiece vs Tag",0.481698579302042,0.005,0.41243487344924,"Diffuse with cross-pole bleed",0.05,4,14.3790554568714
"Masterpiece vs SITS",0.534143743751809,0.005,0.463621600934646,"Diffuse with cross-pole bleed",0.05,4,13.2028398052213
"Tag vs SITS",0.810568767910926,0.005,0.719915138253781,"Diffuse with cross-pole bleed",0.05,4,11.1839529532808
"Masterpiece vs Tag",0.461611879256366,0.005,0.392689252019647,"Diffuse with cross-pole bleed",0.05,5,14.930860823545
"Masterpiece vs SITS",0.514126226914866,0.005,0.438235270302751,"Diffuse with cross-pole bleed",0.05,5,14.7611525417632
"Tag vs SITS",0.809431098300437,0.005,0.714908816916405,"Diffuse with cross-pole bleed",0.05,5,11.6776192047107
"Masterpiece vs Tag",0.476112510293285,0.005,0.400327715114518,"Diffuse with cross-pole bleed",0.05,6,15.9174131198703
"Masterpiece vs SITS",0.528220924959644,0.005,0.450623291102382,"Diffuse with cross-pole bleed",0.05,6,14.690374839503
"Tag vs SITS",0.809256151104306,0.005,0.721548546344613,"Diffuse with cross-pole bleed",0.05,6,10.8380522829525
"Masterpiece vs Tag",0.474701047761825,0.005,0.413158317453198,"Diffuse with cross-pole bleed",0.05,7,12.9645237984612
"Masterpiece vs SITS",0.526953111362912,0.005,0.44635495187563,"Diffuse with cross-pole bleed",0.05,7,15.2951292533074
"Tag vs SITS",0.807789618360137,0.005,0.725961156707411,"Diffuse with cross-pole bleed",0.05,7,10.1299224195086
"Masterpiece vs Tag",0.47627269122161,0.005,0.418759428299558,"Diffuse with cross-pole bleed",0.05,8,12.0757003250668
"Masterpiece vs SITS",0.529599967766169,0.005,0.477890630132705,"Diffuse with cross-pole bleed",0.05,8,9.76384833472929
"Tag vs SITS",0.809113633843811,0.005,0.72116227539861,"Diffuse with cross-pole bleed",0.05,8,10.8700873111451
"Masterpiece vs Tag",0.482288498615426,0.005,0.431471142029862,"Diffuse with cross-pole bleed",0.05,9,10.5367133430411
"Masterpiece vs SITS",0.53408961857738,0.005,0.465617144330421,"Diffuse with cross-pole bleed",0.05,9,12.8204091345838
"Tag vs SITS",0.808823405198025,0.005,0.718877205337596,"Diffuse with cross-pole bleed",0.05,9,11.1206227814843
"Masterpiece vs Tag",0.46657988999322,0.005,0.410689252959721,"Diffuse with cross-pole bleed",0.05,10,11.9787925352528
"Masterpiece vs SITS",0.521076706877093,0.005,0.456103500095572,"Diffuse with cross-pole bleed",0.05,10,12.4690292089466
"Tag vs SITS",0.808788706675246,0.005,0.722469636971112,"Diffuse with cross-pole bleed",0.05,10,10.6726353856959
"Masterpiece vs Tag",0.465476136886682,0.005,0.385359561151111,"Diffuse with cross-pole bleed",0.05,11,17.2117471523735
"Masterpiece vs SITS",0.519295452076246,0.005,0.418825873006807,"Diffuse with cross-pole bleed",0.05,11,19.3472865336565
"Tag vs SITS",0.809530630189903,0.005,0.721932153026451,"Diffuse with cross-pole bleed",0.05,11,10.8208971837054
"Masterpiece vs Tag",0.4803122867396,0.005,0.396324761412502,"Diffuse with cross-pole bleed",0.05,12,17.4860247480263
